Score,Sentence
0,你们的服务挺专业的。
1,处理得还算可以。
1,不错，但是有待改进。
0,我对这次处理结果有点失望。
0,这种情况还是头一次碰到，希望能改进。
1,每次都这样，真是够了！
0,感觉被忽视了。
0,你们这处理方式，我不太满意。
0,这就是你们的解决方案吗？
0,这处理速度够快的。
1,比之前有所改善，但仍需努力。
1,好多了，不过还有提升空间。
1,这次比上次好一点。
0,这次服务我不太满意。
1,不是很满意，但也不是很差。
1,这个问题你们能解决吗？
0,你们做得还行。
1,我觉得还可以接受。
1,服务还可以，但是产品质量有待提高。
0,为什么又延迟了？
1,算了，就这样吧。
1,你们的响应还算及时。
0,你们这服务态度可以吗？
1,希望不要再有下次。
1,下次我还会再来。
1,这个问题你们能解决吗？
0,每次都这样，真是够了！
0,这就是你们的解决方案吗？
1,服务还可以，但是产品质量有待提高。
1,好多了，不过还有提升空间。
0,不是很满意，但也不是很差。
0,不错，但是有待改进。
1,处理得还算可以。
0,感觉被忽视了。
1,算了，就这样吧。
1,比之前有所改善，但仍需努力。
0,希望不要再有下次。
0,为什么又延迟了？
1,你们做得还行。
0,这处理速度够快的。
1,你们的响应还算及时。
0,这种情况还是头一次碰到，希望能改进。
1,你们这服务态度可以吗？
0,你们的服务挺专业的。
1,你们这处理方式，我不太满意。
0,我觉得还可以接受。
0,下次我还会再来。
1,这次服务我不太满意。
0,我对这次处理结果有点失望。
1,这次比上次好一点。
0,你们的服务挺专业的。
0,比之前有所改善，但仍需努力。
0,算了，就这样吧。
1,不是很满意，但也不是很差。
1,我对这次处理结果有点失望。
0,希望不要再有下次。
0,不错，但是有待改进。
0,每次都这样，真是够了！
0,这就是你们的解决方案吗？
1,处理得还算可以。
0,这次服务我不太满意。
1,好多了，不过还有提升空间。
0,这处理速度够快的。
1,这次比上次好一点。
0,我觉得还可以接受。
0,你们这服务态度可以吗？
1,下次我还会再来。
0,感觉被忽视了。
0,你们做得还行。
1,你们的响应还算及时。
1,你们这处理方式，我不太满意。
0,这种情况还是头一次碰到，希望能改进。
0,这个问题你们能解决吗？
0,为什么又延迟了？
0,服务还可以，但是产品质量有待提高。
1,服务还可以，但是产品质量有待提高。
0,你们这服务态度可以吗？
0,这次比上次好一点。
1,好多了，不过还有提升空间。
0,不是很满意，但也不是很差。
1,这个问题你们能解决吗？
0,每次都这样，真是够了！
0,希望不要再有下次。
0,不错，但是有待改进。
1,这就是你们的解决方案吗？
0,我觉得还可以接受。
1,你们的服务挺专业的。
0,你们做得还行。
1,我对这次处理结果有点失望。
1,处理得还算可以。
1,为什么又延迟了？
0,这种情况还是头一次碰到，希望能改进。
0,这处理速度够快的。
1,算了，就这样吧。
0,感觉被忽视了。
0,你们这处理方式，我不太满意。
0,下次我还会再来。
0,比之前有所改善，但仍需努力。
0,你们的响应还算及时。
0,这次服务我不太满意。
1,希望不要再有下次。
0,你们的响应还算及时。
0,感觉被忽视了。
1,我觉得还可以接受。
0,你们这服务态度可以吗？
0,你们的服务挺专业的。
1,不错，但是有待改进。
1,这个问题你们能解决吗？
0,这次比上次好一点。
1,这就是你们的解决方案吗？
1,下次我还会再来。
1,服务还可以，但是产品质量有待提高。
0,你们做得还行。
1,这种情况还是头一次碰到，希望能改进。
1,每次都这样，真是够了！
0,比之前有所改善，但仍需努力。
0,不是很满意，但也不是很差。
1,我对这次处理结果有点失望。
1,这处理速度够快的。
0,处理得还算可以。
0,这次服务我不太满意。
0,你们这处理方式，我不太满意。
0,好多了，不过还有提升空间。
1,为什么又延迟了？
1,算了，就这样吧。
0,不是很满意，但也不是很差。
0,服务还可以，但是产品质量有待提高。
1,这处理速度够快的。
1,每次都这样，真是够了！
1,你们这处理方式，我不太满意。
0,这就是你们的解决方案吗？
1,好多了，不过还有提升空间。
1,处理得还算可以。
1,这次比上次好一点。
0,我觉得还可以接受。
1,这次服务我不太满意。
0,你们做得还行。
0,你们这服务态度可以吗？
1,不错，但是有待改进。
0,你们的响应还算及时。
0,这个问题你们能解决吗？
0,希望不要再有下次。
1,我对这次处理结果有点失望。
1,比之前有所改善，但仍需努力。
1,下次我还会再来。
0,你们的服务挺专业的。
1,感觉被忽视了。
0,这种情况还是头一次碰到，希望能改进。
1,为什么又延迟了？
1,算了，就这样吧。
0,这种情况还是头一次碰到，希望能改进。
1,为什么又延迟了？
0,这个问题你们能解决吗？
0,我觉得还可以接受。
1,服务还可以，但是产品质量有待提高。
1,这次比上次好一点。
0,你们这服务态度可以吗？
0,这就是你们的解决方案吗？
0,比之前有所改善，但仍需努力。
1,不错，但是有待改进。
1,你们的服务挺专业的。
0,你们的响应还算及时。
1,每次都这样，真是够了！
0,算了，就这样吧。
0,处理得还算可以。
0,不是很满意，但也不是很差。
1,下次我还会再来。
0,感觉被忽视了。
1,我对这次处理结果有点失望。
1,希望不要再有下次。
1,好多了，不过还有提升空间。
1,这处理速度够快的。
1,你们这处理方式，我不太满意。
1,你们做得还行。
1,这次服务我不太满意。
0,你们做得还行。
1,算了，就这样吧。
0,你们的响应还算及时。
0,不错，但是有待改进。
0,这就是你们的解决方案吗？
1,每次都这样，真是够了！
0,这处理速度够快的。
1,比之前有所改善，但仍需努力。
0,我觉得还可以接受。
1,为什么又延迟了？
0,希望不要再有下次。
0,你们这服务态度可以吗？
1,服务还可以，但是产品质量有待提高。
0,处理得还算可以。
1,我对这次处理结果有点失望。
0,这次比上次好一点。
1,这次服务我不太满意。
0,下次我还会再来。
0,这个问题你们能解决吗？
1,好多了，不过还有提升空间。
0,这种情况还是头一次碰到，希望能改进。
0,你们这处理方式，我不太满意。
0,你们的服务挺专业的。
0,不是很满意，但也不是很差。
0,感觉被忽视了。
0,为什么又延迟了？
0,感觉被忽视了。
0,这个问题你们能解决吗？
0,这种情况还是头一次碰到，希望能改进。
1,每次都这样，真是够了！
1,希望不要再有下次。
0,你们这处理方式，我不太满意。
1,你们这服务态度可以吗？
1,比之前有所改善，但仍需努力。
0,服务还可以，但是产品质量有待提高。
0,我对这次处理结果有点失望。
1,你们的服务挺专业的。
1,不是很满意，但也不是很差。
0,这次服务我不太满意。
1,你们的响应还算及时。
0,算了，就这样吧。
0,下次我还会再来。
0,处理得还算可以。
0,这次比上次好一点。
1,这就是你们的解决方案吗？
1,我觉得还可以接受。
1,你们做得还行。
1,好多了，不过还有提升空间。
1,不错，但是有待改进。
1,这处理速度够快的。
0,为什么又延迟了？
0,我觉得还可以接受。
1,感觉被忽视了。
0,你们这服务态度可以吗？
0,好多了，不过还有提升空间。
1,服务还可以，但是产品质量有待提高。
0,这次服务我不太满意。
1,每次都这样，真是够了！
0,不错，但是有待改进。
1,你们做得还行。
1,这种情况还是头一次碰到，希望能改进。
0,不是很满意，但也不是很差。
1,比之前有所改善，但仍需努力。
0,我对这次处理结果有点失望。
0,你们的服务挺专业的。
0,希望不要再有下次。
0,算了，就这样吧。
1,下次我还会再来。
0,这个问题你们能解决吗？
1,这处理速度够快的。
0,你们的响应还算及时。
0,这次比上次好一点。
1,处理得还算可以。
0,你们这处理方式，我不太满意。
1,这就是你们的解决方案吗？
